,Rank,Release Group,Worldwide,Domestic,%,Foreign,%
85,86,The Personal History of David Copperfield,"$14,399,270 ","$1,876,298 ",13%,"$12,522,972 ",87%
86,87,Nightlife,"$14,308,789 ",-,-,"$14,308,789 ",100%
87,88,Pawn,"$14,193,957 ",-,-,"$14,193,957 ",100%
88,89,#Alive,"$13,432,212 ",-,-,"$13,432,212 ",100%
89,90,Howling Village,"$13,394,556 ",-,-,"$13,394,556 ",100%
90,91,Come Play,"$13,182,254 ","$10,475,990 ",79.50%,"$2,706,264 ",20.50%
91,92,Samjin Company English Class,"$12,761,386 ",-,-,"$12,761,386 ",100%
92,93,Another Round,"$12,742,172 ",-,-,"$12,742,172 ",100%
93,94,News of the World,"$12,668,325 ","$12,668,325 ",100%,-,-
94,95,Collectors,"$12,640,113 ",-,-,"$12,640,113 ",100%
95,96,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$12,221,804 ",-,-,"$12,221,804 ",100%
96,97,Ducobu 3,"$12,157,793 ",-,-,"$12,157,793 ",100%
97,98,Wotakoi: Love Is Hard for Otaku,"$11,702,371 ",-,-,"$11,702,371 ",100%
98,99,30 jours max,"$11,007,713 ",-,-,"$11,007,713 ",100%
99,100,Bigfoot Family,"$10,987,975 ",-,-,"$10,987,975 ",100%
100,101,The Voice of Sin,"$10,983,063 ",-,-,"$10,983,063 ",100%
101,102,Let Him Go,"$10,835,686 ","$9,358,025 ",86.40%,"$1,477,661 ",13.60%
102,103,One Second,"$10,791,301 ",-,-,"$10,791,301 ",100%
103,104,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891 ",-,-,"$10,779,891 ",100%
104,105,Impractical Jokers: The Movie,"$10,691,091 ","$10,691,091 ",100%,-,-
105,106,Two by Two: Overboard!,"$10,622,643 ",-,-,"$10,622,643 ",100%
106,107,Honest Candidate,"$10,597,464 ",-,-,"$10,597,464 ",100%
107,108,The Hunt,"$10,550,350 ","$5,812,500 ",55.10%,"$4,737,850 ",44.90%
